slug,earning_after_first_date,expense_after_first_date,earning_after_first_expense,expense_after_first_expense
checkstyle/checkstyle,20.0,0.0,,
clojure-emacs/cider,1780.0,0.0,11186.0,-4950.0
uraimo/awesome-software-patreons,2555.0,0.0,,
NaturalIntelligence/imglab,,,,
joshtronic/donate,,,,
onivim/oni,,,,
tareefdev/lets-support-emacs,1780.0,0.0,11186.0,-4950.0
kriasoft/react-starter-kit,66.0,0.0,,
tim-soft/react-starter-kit-antd,66.0,0.0,,
tomwayson/esri-loader-react-starter-kit,66.0,0.0,,
xugy0926/shuoriyu,66.0,0.0,,
clarketm/connect-react-starter-kit,66.0,0.0,,
SyedAman/kriegstudios.com,66.0,0.0,,
josephfrazier/Reported-Web,66.0,0.0,,
atomspace/atomspace-calentask,66.0,0.0,,
shakacode/react-starter-kit-with-bootstrap-loader,66.0,0.0,,
ibudisteanu/SkyHub-Frontend-React-Isomorphic,66.0,0.0,,
dreambo8563/RSK-Mobx-SSR,66.0,0.0,,
rubocop-hq/rubocop,321.0,0.0,4853.0,-9500.0
WebReflection/donate,965.0,0.0,,
bevry/feedr,50.0,0.0,0.0,-86.0
bevry/kava,50.0,0.0,0.0,-86.0
balupton/website,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-feedr,50.0,0.0,0.0,-86.0
docpad/website,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-consolidate,50.0,0.0,0.0,-86.0
bevry/website,50.0,0.0,0.0,-86.0
bevry/hooks,50.0,0.0,0.0,-86.0
bevry/jordanbpeterson.community,50.0,0.0,0.0,-86.0
bevry/eslint-config-bevry,50.0,0.0,0.0,-86.0
bevry/daet,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-assets,50.0,0.0,0.0,-86.0
bevry/billing,50.0,0.0,0.0,-86.0
bevry/valid-directory,50.0,0.0,0.0,-86.0
bevry/meet,50.0,0.0,0.0,-86.0
bevry/memo,50.0,0.0,0.0,-86.0
bevry/githubauthquerystring,50.0,0.0,0.0,-86.0
bevry/start-of-week,50.0,0.0,0.0,-86.0
bevry/pluginloader,50.0,0.0,0.0,-86.0
bevry/native-promise-pool,50.0,0.0,0.0,-86.0
kervin521/checkstyle,20.0,0.0,,
adnanh/webhook,75.0,-5.0,5.0,-54.0
JacobEvelyn/friends,,,,
docpad/docpad,50.0,0.0,0.0,-86.0
bevry/cson,50.0,0.0,0.0,-86.0
bevry/watchr,50.0,0.0,0.0,-86.0
bevry/caterpillar,50.0,0.0,0.0,-86.0
bevry/projectz,50.0,0.0,0.0,-86.0
bevry/getmac,50.0,0.0,0.0,-86.0
bevry/badges,50.0,0.0,0.0,-86.0
bevry/istextorbinary,50.0,0.0,0.0,-86.0
bevry/taskgroup,50.0,0.0,0.0,-86.0
bevry/joe,50.0,0.0,0.0,-86.0
bevry/domain-browser,50.0,0.0,0.0,-86.0
bevry/typechecker,50.0,0.0,0.0,-86.0
bevry/safeps,50.0,0.0,0.0,-86.0
bevry/ambi,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-livereload,50.0,0.0,0.0,-86.0
bevry/event-emitter-grouped,50.0,0.0,0.0,-86.0
bevry/extendr,50.0,0.0,0.0,-86.0
bevry/pluginclerk,50.0,0.0,0.0,-86.0
bevry/textextensions,50.0,0.0,0.0,-86.0
bevry/cachely,50.0,0.0,0.0,-86.0
dragoscirjan/aurelia-content-loader,,,,
dragoscirjan/aurelia-google-recaptcha,,,,
code-helix/slatekit,,,,
code-helix/slatekit-common,,,,
mlabouardy/komiser,6.0,0.0,,
pomber/git-history,,,,
BlueLightOS/bluelight,,,,
DIYgod/RSSHub,,,,
MoePlayer/DPlayer,22.0,0.0,,
DIYgod/DPlayer,22.0,0.0,,
cdnbye/P2P-DPlayer,22.0,0.0,,
maximenz/Kaku,30.0,0.0,,
FreezingMoon/AncientBeast,,,,
huangyuan9/distributer,71.0,0.0,,
huangyuan9/permission,71.0,0.0,,
ory/hydra,1035.0,0.0,,
ory/oathkeeper,1035.0,0.0,,
ory/keto,1035.0,0.0,,
pizzaql/pizzaql,100.0,-82.4,0.0,-82.4
amilajack/eslint-plugin-compat,,,,
NaturalIntelligence/fast-xml-parser,75.0,-55.0,0.0,-55.0
antonreshetov/mysigmail,,,,
botman/botman,,,,
devhubapp/devhub,30.0,-21.0,0.0,-7.0
ng-alain/ng-alain,,,,
ng-alain/delon,,,,
d2phap/ImageGlass,,,,
danichim/web-technologies,,,,
pixelfed/pixelfed,,,,
xiaodaigh/disk.frame,,,,
codex-team/editor.js,2835.0,0.0,,
nayafia/lemonade-stand,,,,
mrjoelkemp/awesome-paid-open-source,0.0,-112161.76000000001,0.0,-11751.39
source-foundry/inc,65616.20999999999,-50218.5,10888.0,-565.0
jamesgeorge007/Skills-Hub,23294.100000000002,-1279.94,10033.0,-5534.33
ossfriendly/open-source-supporters,,,,
micromata/awesome-open-source-supporting,,,,
haasn/libplacebo,,,,
sara0871/babel,,,,
ifmeorg/ifme,130.0,0.0,80.0,-16.04
InfiniBrains/mobagen,,,,
ivanceras/diwata,,,,
impulsesjs/impulses,,,,
j-show/jshow,,,,
jjzhang166/LCUI,11.0,-5.0,2.0,-5.0
orgmanager/orgmanager,100.0,0.0,,
tootsuite/mastodon,73593.0,-8770.7,12.0,-113.0
cambrian-era/mastodon,73593.0,-8770.7,12.0,-113.0
kiritan-pop/mastodon,73593.0,-8770.7,12.0,-113.0
moleculerjs/moleculer,305.0,0.0,,
ice-services/moleculer,305.0,0.0,,
nFnK/tntsearch-fulltext,210.0,0.0,,
nFnK/tntsearch,210.0,0.0,,
mui-org/material-ui-docs,6310.0,-4352.0,32528.800000000003,-14000.0
pedronauck/docz,85.0,0.0,,
vulhub/vulhub,,,,
php-telegram-bot/core,,,,
joehand/open-source-finances,,,,
marktext/marktext,1482.0,0.0,707.0,-116.0
TutupSalep/React-Native-Starter,1039.0,0.0,58.0,-150.0
realrashid/sweet-alert,,,,
